               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12736,            0.051581,            0.089841,                   0,                   0,                   0,                   0,             0.12863,            0.056113,            0.091096,              0.0991,              0.0001,              0.0001
                   1,             0.12581,            0.048277,            0.089923,                   0,                   0,                   0,                   0,             0.12786,            0.055824,            0.090883,            0.097299,          0.00029851,          0.00029851
                   2,             0.12446,            0.054047,            0.089744,                   0,                   0,                   0,                   0,             0.12652,            0.055749,            0.090556,            0.095495,          0.00049505,          0.00049505
                   3,             0.12199,            0.051265,            0.087875,                   0,                   0,                   0,                   0,             0.12458,            0.056009,            0.090161,             0.09369,           0.0006896,           0.0006896
                   4,             0.11828,            0.063217,            0.086748,                   0,                   0,                   0,                   0,             0.12181,            0.056649,            0.089617,            0.091882,          0.00088218,          0.00088218
                   5,             0.11693,            0.057403,            0.087646,                   0,                   0,                   0,                   0,             0.11774,            0.057877,            0.089051,            0.090073,           0.0010728,           0.0010728
                   6,             0.11177,            0.074478,            0.084984,                   0,                   0,                   0,                   0,             0.11189,            0.059557,            0.088505,            0.088261,           0.0012614,           0.0012614
                   7,             0.10671,            0.067511,            0.083494,           0.0078286,            0.047619,            0.027918,           0.0035493,             0.10325,            0.061638,            0.087899,            0.086448,            0.001448,            0.001448
                   8,             0.10186,            0.062447,            0.084964,            0.031122,            0.095238,            0.046067,            0.015028,            0.098981,             0.06297,            0.087654,            0.084633,           0.0016327,           0.0016327
                   9,            0.099744,            0.059742,            0.083564,            0.021837,             0.11905,            0.041175,            0.011568,            0.095075,            0.064242,            0.087423,            0.082815,           0.0018154,           0.0018154
                  10,            0.099663,            0.076215,            0.082941,            0.035119,             0.14286,            0.053425,            0.016837,            0.091993,            0.065261,            0.086934,            0.080996,            0.001996,            0.001996
                  11,            0.098221,            0.080919,            0.081424,            0.035073,              0.2119,            0.059775,            0.019214,             0.08951,            0.065877,             0.08637,            0.079175,           0.0021748,           0.0021748
                  12,            0.091977,            0.082884,            0.080471,            0.041336,             0.33571,            0.070272,            0.022024,            0.086891,            0.066235,            0.085744,            0.077352,           0.0023515,           0.0023515
                  13,            0.091192,            0.071382,             0.08064,            0.055183,             0.54365,            0.091243,            0.038573,            0.084483,            0.065984,            0.084921,            0.075526,           0.0025263,           0.0025263
                  14,            0.086594,             0.07789,            0.079768,            0.059064,             0.50317,             0.12206,            0.055417,            0.081853,            0.065329,            0.084116,            0.073699,            0.002699,            0.002699
                  15,             0.08759,            0.077667,            0.077749,            0.076221,             0.51032,             0.16325,            0.064337,            0.079395,            0.064506,            0.083235,             0.07187,           0.0028698,           0.0028698
                  16,            0.084114,            0.077833,            0.075806,             0.06637,             0.63016,             0.18621,            0.078748,            0.076946,            0.063077,            0.082225,            0.070039,           0.0030386,           0.0030386
                  17,             0.08258,            0.077328,            0.074359,            0.062881,             0.48254,             0.18459,            0.077941,            0.073894,            0.062122,            0.081168,            0.068205,           0.0032055,           0.0032055
                  18,            0.079556,            0.079499,            0.073653,            0.066224,             0.52222,             0.21143,            0.071934,            0.071037,            0.060941,            0.079851,             0.06637,           0.0033703,           0.0033703
                  19,            0.079709,            0.084655,            0.074568,            0.069198,              0.5381,             0.24396,             0.10273,            0.069035,            0.059465,            0.078497,            0.064533,           0.0035332,           0.0035332
                  20,            0.078413,            0.068174,            0.073605,            0.086449,             0.35079,             0.24626,             0.12641,            0.066225,            0.059652,            0.077369,            0.062694,           0.0036941,           0.0036941
                  21,            0.074532,            0.075001,            0.072178,             0.35761,             0.25873,             0.20794,             0.10939,            0.062271,            0.059915,            0.076001,            0.060853,            0.003853,            0.003853
                  22,            0.071622,            0.078341,            0.069773,             0.76962,             0.21429,             0.19071,             0.10231,            0.061556,            0.061506,            0.074573,             0.05901,           0.0040099,           0.0040099
                  23,            0.070365,            0.064686,            0.068167,             0.39665,             0.21982,             0.22445,             0.11581,            0.058548,            0.063791,            0.073447,            0.057165,           0.0041649,           0.0041649
                  24,            0.074469,            0.077395,            0.068293,             0.34355,             0.17143,             0.11878,             0.03082,            0.067353,            0.070502,             0.07187,            0.055318,           0.0043179,           0.0043179
                  25,            0.074526,            0.067479,            0.065932,             0.40056,             0.25952,             0.17804,            0.049076,            0.062995,            0.065764,            0.070101,            0.053469,           0.0044689,           0.0044689
                  26,            0.072853,            0.076941,            0.065469,             0.25217,             0.29524,             0.14586,            0.051795,            0.071434,            0.061065,            0.067041,            0.051618,           0.0046179,           0.0046179
                  27,            0.071756,            0.070126,            0.063034,             0.27898,             0.20317,             0.11565,            0.037261,            0.071434,            0.061065,            0.067041,            0.049765,           0.0047649,           0.0047649
                  28,            0.071288,            0.062468,            0.062205,               0.352,             0.31905,             0.18894,            0.061806,            0.062323,            0.055767,            0.065023,             0.04791,             0.00491,             0.00491
                  29,            0.070097,            0.056483,            0.063575,             0.30372,             0.39048,             0.25675,             0.14477,            0.059143,            0.054315,            0.061906,            0.046053,           0.0050531,           0.0050531
                  30,            0.069382,            0.069026,            0.061434,             0.30372,             0.39048,             0.25675,             0.14477,            0.059143,            0.054315,            0.061906,            0.044194,           0.0051941,           0.0051941
                  31,            0.069183,            0.061052,            0.059772,             0.37928,             0.27143,             0.20704,            0.068486,            0.062991,            0.051348,            0.059555,            0.042333,           0.0053333,           0.0053333
                  32,            0.069676,            0.069452,            0.058553,             0.35872,              0.2956,             0.19258,             0.10026,            0.069553,            0.049313,            0.056614,             0.04047,           0.0054704,           0.0054704
                  33,            0.073999,            0.059712,            0.057824,             0.35872,              0.2956,             0.19258,             0.10026,            0.069553,            0.049313,            0.056614,            0.038606,           0.0056056,           0.0056056
                  34,            0.069287,            0.055766,            0.056238,             0.50858,             0.35629,             0.40016,             0.20205,            0.056775,            0.049697,            0.054511,            0.036739,           0.0057387,           0.0057387
                  35,            0.066266,            0.063279,            0.055805,             0.37477,             0.17143,             0.12694,            0.066115,              0.0667,             0.04812,            0.051223,             0.03487,           0.0058699,           0.0058699
                  36,            0.068691,            0.070525,            0.053761,             0.37477,             0.17143,             0.12694,            0.066115,              0.0667,             0.04812,            0.051223,            0.032999,           0.0059991,           0.0059991
                  37,            0.068025,            0.069635,             0.05318,              0.5996,             0.49393,             0.60786,             0.31973,            0.057609,            0.048375,            0.049446,            0.031126,           0.0061264,           0.0061264
                  38,            0.070527,            0.056821,            0.052799,             0.40475,             0.29286,             0.17158,            0.059308,            0.078489,            0.048016,            0.046892,            0.029252,           0.0062516,           0.0062516
                  39,            0.075635,            0.060707,            0.050286,             0.38795,             0.16429,            0.073869,            0.028399,            0.078489,            0.048016,            0.046892,            0.027375,           0.0063749,           0.0063749
                  40,            0.068319,            0.067557,            0.051918,             0.47736,             0.52381,             0.60482,             0.29954,            0.055354,            0.047059,            0.045519,            0.025496,           0.0064962,           0.0064962
                  41,            0.063109,            0.058627,            0.052415,             0.69986,              0.4881,             0.44848,             0.20097,            0.068167,            0.046838,            0.043794,            0.023616,           0.0066155,           0.0066155
                  42,            0.070315,            0.058796,            0.047123,             0.69986,              0.4881,             0.44848,             0.20097,            0.068167,            0.046838,            0.043794,            0.021733,           0.0067329,           0.0067329
                  43,            0.069637,            0.049537,            0.046767,             0.53338,             0.47619,             0.52796,             0.27893,            0.061062,            0.046186,            0.043341,            0.019848,           0.0068482,           0.0068482
                  44,             0.06562,            0.049613,            0.046883,             0.53338,             0.47619,             0.52796,             0.27893,            0.061062,            0.046186,            0.043341,            0.017962,           0.0069616,           0.0069616
                  45,            0.067419,            0.051567,            0.045449,             0.75212,             0.35714,              0.6532,             0.23561,            0.065388,            0.044041,            0.041244,            0.016073,            0.007073,            0.007073
                  46,            0.066528,            0.037671,            0.048161,             0.75212,             0.35714,              0.6532,             0.23561,            0.065388,            0.044041,            0.041244,            0.014182,           0.0071824,           0.0071824
                  47,            0.065546,            0.064597,            0.042611,             0.78976,             0.41667,             0.54587,             0.26606,            0.078424,            0.044817,            0.039955,             0.01229,           0.0072898,           0.0072898
                  48,            0.081135,            0.047472,            0.042715,             0.78976,             0.41667,             0.54587,             0.26606,            0.078424,            0.044817,            0.039955,            0.010395,           0.0073953,           0.0073953
                  49,            0.080769,            0.048373,             0.03967,             0.80313,             0.44753,             0.78101,             0.39058,            0.064255,            0.046262,            0.038509,           0.0084988,           0.0074988,           0.0074988
                  50,            0.068415,             0.04454,            0.040141,             0.80313,             0.44753,             0.78101,             0.39058,            0.064255,            0.046262,            0.038509,            0.007525,            0.007525,            0.007525
                  51,            0.069839,              0.0486,            0.042147,             0.47588,             0.64212,             0.67865,             0.26518,             0.06793,            0.045496,            0.037208,            0.007525,            0.007525,            0.007525
                  52,            0.069995,            0.054726,             0.04034,             0.47588,             0.64212,             0.67865,             0.26518,             0.06793,            0.045496,            0.037208,           0.0074755,           0.0074755,           0.0074755
                  53,            0.068141,            0.048031,             0.04437,             0.79749,             0.57143,             0.76478,             0.33698,            0.057609,            0.045364,            0.035768,            0.007426,            0.007426,            0.007426
                  54,            0.064038,            0.053644,            0.035685,             0.79749,             0.57143,             0.76478,             0.33698,            0.057609,            0.045364,            0.035768,           0.0073765,           0.0073765,           0.0073765
                  55,            0.061695,            0.044573,            0.040252,             0.76712,             0.52475,             0.66014,             0.36718,            0.066051,            0.045803,            0.034316,            0.007327,            0.007327,            0.007327
                  56,            0.063617,            0.052358,            0.039883,             0.76712,             0.52475,             0.66014,             0.36718,            0.066051,            0.045803,            0.034316,           0.0072775,           0.0072775,           0.0072775
                  57,            0.063053,            0.045499,            0.035947,             0.66464,             0.61642,              0.6651,             0.29038,            0.063944,            0.045212,            0.032873,            0.007228,            0.007228,            0.007228
                  58,            0.060717,            0.055023,            0.035167,             0.66464,             0.61642,              0.6651,             0.29038,            0.063944,            0.045212,            0.032873,           0.0071785,           0.0071785,           0.0071785
                  59,            0.059712,            0.052904,            0.036776,                0.52,             0.68727,             0.65141,             0.30969,            0.063977,            0.047166,            0.032116,            0.007129,            0.007129,            0.007129
                  60,            0.067569,            0.042956,            0.035728,                0.52,             0.68727,             0.65141,             0.30969,            0.063977,            0.047166,            0.032116,           0.0070795,           0.0070795,           0.0070795
                  61,            0.071175,            0.055204,            0.035499,             0.54904,             0.69878,             0.74804,             0.36566,            0.059057,            0.045379,            0.030983,             0.00703,             0.00703,             0.00703
                  62,            0.067154,            0.045571,            0.034013,             0.54904,             0.69878,             0.74804,             0.36566,            0.059057,            0.045379,            0.030983,           0.0069805,           0.0069805,           0.0069805
                  63,            0.067253,            0.038667,            0.033571,             0.80509,             0.57852,             0.77743,             0.44319,            0.052294,            0.044105,            0.030403,            0.006931,            0.006931,            0.006931
                  64,            0.057421,            0.047159,            0.030862,             0.80509,             0.57852,             0.77743,             0.44319,            0.052294,            0.044105,            0.030403,           0.0068815,           0.0068815,           0.0068815
                  65,            0.058484,            0.037794,            0.032966,             0.69634,             0.61905,             0.76554,             0.39747,            0.054238,             0.04383,            0.029431,            0.006832,            0.006832,            0.006832
                  66,            0.056078,            0.056056,            0.031151,             0.69634,             0.61905,             0.76554,             0.39747,            0.054238,             0.04383,            0.029431,           0.0067825,           0.0067825,           0.0067825
                  67,            0.059095,            0.057319,            0.032678,               0.534,             0.69046,              0.7796,             0.45303,            0.056041,            0.044957,            0.028372,            0.006733,            0.006733,            0.006733
                  68,            0.060818,            0.069474,            0.032138,               0.534,             0.69046,              0.7796,             0.45303,            0.056041,            0.044957,            0.028372,           0.0066835,           0.0066835,           0.0066835
                  69,            0.060407,            0.057801,            0.031193,             0.76755,             0.71429,             0.83106,             0.45067,            0.048417,            0.045202,            0.027941,            0.006634,            0.006634,            0.006634
                  70,            0.052476,            0.036259,            0.031124,             0.76755,             0.71429,             0.83106,             0.45067,            0.048417,            0.045202,            0.027941,           0.0065845,           0.0065845,           0.0065845
                  71,            0.055138,            0.052855,            0.031224,             0.50938,             0.62283,             0.69823,             0.40522,            0.058143,            0.046123,            0.027339,            0.006535,            0.006535,            0.006535
                  72,            0.058583,            0.050231,            0.029587,             0.50938,             0.62283,             0.69823,             0.40522,            0.058143,            0.046123,            0.027339,           0.0064855,           0.0064855,           0.0064855
                  73,            0.057799,            0.047716,            0.029582,             0.59126,              0.7381,              0.8054,             0.34334,            0.053809,            0.045946,             0.02659,            0.006436,            0.006436,            0.006436
                  74,            0.060153,            0.047702,            0.029479,             0.59126,              0.7381,              0.8054,             0.34334,            0.053809,            0.045946,             0.02659,           0.0063865,           0.0063865,           0.0063865
                  75,            0.056203,            0.052229,            0.027094,             0.66646,              0.7381,             0.84044,             0.44391,            0.046658,            0.046333,             0.02598,            0.006337,            0.006337,            0.006337
                  76,            0.051907,            0.052064,            0.027445,             0.66646,              0.7381,             0.84044,             0.44391,            0.046658,            0.046333,             0.02598,           0.0062875,           0.0062875,           0.0062875
                  77,            0.052001,             0.04865,            0.026256,             0.70634,             0.64286,              0.7562,             0.43015,            0.052783,            0.046054,            0.025206,            0.006238,            0.006238,            0.006238
                  78,            0.051751,            0.051678,            0.026933,             0.70634,             0.64286,              0.7562,             0.43015,            0.052783,            0.046054,            0.025206,           0.0061885,           0.0061885,           0.0061885
                  79,            0.051392,            0.045202,            0.028113,              0.5971,             0.68182,             0.81236,              0.4107,            0.053615,            0.045894,            0.024831,            0.006139,            0.006139,            0.006139
                  80,            0.052635,            0.045973,             0.02327,              0.5971,             0.68182,             0.81236,              0.4107,            0.053615,            0.045894,            0.024831,           0.0060895,           0.0060895,           0.0060895
