               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  34,            0.067133,             0.05909,            0.058661,             0.47846,             0.42429,              0.3707,             0.19175,             0.06141,            0.050267,            0.057494,            0.035577,           0.0045775,           0.0045775
                  35,            0.067144,            0.064629,            0.058116,             0.43235,              0.5253,             0.39824,             0.25111,            0.059542,            0.050491,            0.054912,             0.03364,           0.0046399,           0.0046399
                  36,            0.066235,            0.073049,            0.056362,             0.43235,              0.5253,             0.39824,             0.25111,            0.059542,            0.050491,            0.054912,            0.031698,           0.0046983,           0.0046983
                  37,            0.065842,            0.072676,             0.05566,             0.62472,             0.41949,             0.46286,              0.2069,            0.057119,            0.050033,            0.053083,            0.029753,           0.0047528,           0.0047528
                  38,            0.070218,            0.059427,            0.055573,             0.63257,              0.5119,              0.5566,             0.29568,            0.054143,            0.048493,            0.051005,            0.027803,           0.0048033,           0.0048033
                  39,            0.061523,            0.066209,            0.053154,             0.63257,              0.5119,              0.5566,             0.29568,            0.054143,            0.048493,            0.051005,             0.02585,           0.0048498,           0.0048498
                  40,            0.061771,            0.071545,            0.054922,             0.55236,             0.45552,             0.59497,             0.24509,             0.05422,            0.049281,            0.049368,            0.023892,           0.0048924,           0.0048924
                  41,             0.06236,            0.060653,              0.0556,               0.311,             0.31587,             0.12914,            0.044598,             0.07301,            0.052086,            0.047415,            0.021931,            0.004931,            0.004931
                  42,            0.075485,            0.060214,            0.050321,              0.3444,             0.30758,               0.197,            0.068131,             0.07301,            0.052086,            0.047415,            0.019966,           0.0049657,           0.0049657
                  43,            0.074912,            0.051123,            0.049991,             0.55326,             0.44312,             0.71026,             0.32273,            0.056409,            0.045684,            0.046232,            0.017996,           0.0049964,           0.0049964
                  44,            0.058408,            0.053296,            0.050239,             0.55326,             0.44312,             0.71026,             0.32273,            0.056409,            0.045684,            0.046232,            0.016023,           0.0050232,           0.0050232
                  45,            0.060167,            0.055367,            0.048529,             0.46941,             0.52381,             0.47625,              0.2184,            0.065665,            0.044769,            0.044443,            0.014046,            0.005046,            0.005046
                  46,            0.066967,            0.039718,            0.051543,             0.46941,             0.52381,             0.47625,              0.2184,            0.065665,            0.044769,            0.044443,            0.012065,           0.0050648,           0.0050648
                  47,             0.07045,            0.063143,            0.046392,             0.50056,              0.4881,             0.47248,             0.16143,            0.067788,            0.044681,             0.04319,             0.01008,           0.0050797,           0.0050797
                  48,            0.072428,            0.051763,             0.04622,             0.50056,              0.4881,             0.47248,             0.16143,            0.067788,            0.044681,             0.04319,           0.0080906,           0.0050906,           0.0050906
                  49,            0.071111,            0.052782,            0.043396,              0.5509,                 0.5,             0.57829,             0.22769,            0.058474,            0.045996,            0.041836,           0.0060975,           0.0050975,           0.0050975
                  50,            0.063098,            0.046483,            0.043855,              0.5509,                 0.5,             0.57829,             0.22769,            0.058474,            0.045996,            0.041836,             0.00505,             0.00505,             0.00505
                  51,              0.0646,            0.052021,            0.046146,             0.83921,             0.35714,             0.59143,             0.35223,            0.059987,            0.044863,            0.040658,             0.00505,             0.00505,             0.00505
